rel_id	source	target	type	state_class	evidence_source
REL-081	KNW-004	MOD-001	REFERENCES	P12_DIRECT_DOCUMENTARY	C
REL-082	INT-001	MOD-001	DEPENDS_ON	P12_SEMANTIC_DEPENDENCY	C
REL-083	INT-002	MOD-001	DEPENDS_ON	P12_SEMANTIC_DEPENDENCY	C
REL-084	MOD-002	MOD-003	REFERENCES	P12_DIRECT_DOCUMENTARY	B/E
REL-085	MOD-002	MOD-004	REFERENCES	P12_DIRECT_DOCUMENTARY	B/E
REL-086	MOD-002	MOD-011	REFERENCES	P12_DIRECT_DOCUMENTARY	B/E
REL-087	MOD-002	ARC-002	REFERENCES	P12_DIRECT_DOCUMENTARY	E
REL-088	MOD-002	ARC-006	REFERENCES	P12_DIRECT_DOCUMENTARY	E
REL-089	MOD-002	ARC-009	REFERENCES	P12_DIRECT_DOCUMENTARY	E
REL-090	MOD-002	ARC-010	REFERENCES	P12_DIRECT_DOCUMENTARY	E
REL-091	MOD-002	GOV-004	REFERENCES	P12_DIRECT_DOCUMENTARY	E
REL-092	MOD-002	GOV-012	REFERENCES	P12_DIRECT_DOCUMENTARY	E
REL-093	MOD-003	MOD-002	REFERENCES	P12_DIRECT_DOCUMENTARY	B/F
REL-094	MOD-003	MOD-004	REFERENCES	P12_DIRECT_DOCUMENTARY	B/F
REL-095	MOD-003	MOD-011	REFERENCES	P12_DIRECT_DOCUMENTARY	B/F
REL-096	MOD-003	GOV-004	REFERENCES	P12_DIRECT_DOCUMENTARY	F
REL-097	MOD-003	GOV-012	REFERENCES	P12_DIRECT_DOCUMENTARY	F
REL-098	MOD-003	REP-001	REFERENCES	P12_DIRECT_DOCUMENTARY	F
REL-099	MOD-003	REP-002	REFERENCES	P12_DIRECT_DOCUMENTARY	F
REL-100	MOD-003	ARC-009	REFERENCES	P12_DIRECT_DOCUMENTARY	F
REL-101	MOD-003	ARC-010	REFERENCES	P12_DIRECT_DOCUMENTARY	F
REL-102	MOD-004	MOD-002	DEPENDS_ON	P12_MODEL_COMPOSITION	B
REL-103	MOD-004	MOD-003	DEPENDS_ON	P12_MODEL_COMPOSITION	B
REL-104	MOD-004	MOD-011	DEPENDS_ON	P12_MODEL_COMPOSITION	B
REL-105	MOD-004	ARC-009	REFERENCES	P12_ARCHITECTURE_REVIEW_REFERENCE	B
REL-106	MOD-004	ARC-010	REFERENCES	P12_ARCHITECTURE_REVIEW_REFERENCE	B
REL-107	MOD-011	MOD-002	REFERENCES	P12_DIRECT_DOCUMENTARY	B
REL-108	MOD-011	MOD-003	REFERENCES	P12_DIRECT_DOCUMENTARY	B
REL-109	MOD-011	MOD-004	REFERENCES	P12_DIRECT_DOCUMENTARY	B
REL-110	KNW-003	MOD-011	REFERENCES	P12_DIRECT_DOCUMENTARY	D
REL-111	KNW-004	MOD-011	REFERENCES	P12_DIRECT_DOCUMENTARY	D
REL-112	MOD-011	ENG-007	REFERENCES	P12_DIRECT_DOCUMENTARY	H
REL-113	ENG-007	MOD-011	REFERENCES	P12_DIRECT_DOCUMENTARY	H
REL-114	MOD-011	AI-006	REFERENCES	P12_ENDPOINT_HOLD_REFERENCE	H
REL-115	AI-006	MOD-011	CONSUMES	P12_ENDPOINT_HOLD_CONSUMPTION	H
REL-116	MOD-011	AI-007	REFERENCES	P12_ENDPOINT_HOLD_REFERENCE	H
REL-117	AI-007	MOD-011	DEPENDS_ON	P12_ENDPOINT_HOLD_DEPENDENCY	H
REL-118	AI-008	MOD-011	DEPENDS_ON	P12_ENDPOINT_HOLD_DEPENDENCY	H
REL-119	MOD-011	GOV-011	REFERENCES	P12_TARGET_HOLD_REFERENCE	H
REL-120	MOD-011	Memory/Engineering_Journal/SESSION_LEARNING_HANDOFF_TEMPLATE.md	REFERENCES	P12_DIRECT_DOCUMENTARY	H
REL-121	MOD-004	MEM-001	REFERENCES	P12_AUTHORITY_BOUNDARY	I
REL-122	MOD-001	KNW-001	REFERENCES	P12_AUTHORITY_BOUNDARY	J
REL-123	MOD-001	SPEC-001-KNOWLEDGE-ORGANIZATION	REFERENCES	P12_OPERATIONAL_GUIDANCE_REFERENCE	L

stable_correction	source	target	type	state_class	evidence_source
REL-002	SRV-004	MOD-001	DEPENDS_ON	P12_STABLE_ID_CORRECTION	C
REL-012	MOD-011	KNW-004	REFERENCES	P12_STABLE_ID_TYPE_CORRECTION	D
